algorithm n comparisons
bubble 0 0
insertion 0 0
selection 0 0
quick 0 0
std 0 0
bubble 0 0
insertion 0 0
selection 0 0
quick 0 0
std 0 0
bubble 0 0
insertion 0 0
selection 0 0
quick 0 0
std 0 0
bubble 0 0
insertion 0 0
selection 0 0
quick 0 0
std 0 0
bubble 0 0
insertion 0 0
selection 0 0
quick 0 0
std 0 0
bubble 0 0
insertion 0 0
selection 0 0
quick 0 0
std 0 0
bubble 0 0
insertion 0 0
selection 0 0
quick 0 0
std 0 0
bubble 0 0
insertion 0 0
selection 0 0
quick 0 0
std 0 0
bubble 0 0
insertion 0 0
selection 0 0
quick 0 0
std 0 0
bubble 0 0
insertion 0 0
selection 0 0
quick 0 0
std 0 0
bubble 100 7821
insertion 100 2672
selection 100 4950
quick 100 840
std 100 610
bubble 100 9009
insertion 100 2370
selection 100 4950
quick 100 747
std 100 624
bubble 100 8811
insertion 100 2558
selection 100 4950
quick 100 1009
std 100 658
bubble 100 8613
insertion 100 2602
selection 100 4950
quick 100 840
std 100 648
bubble 100 9702
insertion 100 2699
selection 100 4950
quick 100 1112
std 100 646
bubble 100 7425
insertion 100 2322
selection 100 4950
quick 100 868
std 100 631
bubble 100 9504
insertion 100 2709
selection 100 4950
quick 100 928
std 100 667
bubble 100 8811
insertion 100 2488
selection 100 4950
quick 100 967
std 100 638
bubble 100 9405
insertion 100 2498
selection 100 4950
quick 100 904
std 100 647
bubble 100 9108
insertion 100 2469
selection 100 4950
quick 100 1049
std 100 609
bubble 500 241017
insertion 500 65452
selection 500 124750
quick 500 6059
std 500 4383
bubble 500 243013
insertion 500 63702
selection 500 124750
quick 500 6107
std 500 4315
bubble 500 233532
insertion 500 61862
selection 500 124750
quick 500 7879
std 500 4351
bubble 500 236027
insertion 500 62851
selection 500 124750
quick 500 6638
std 500 4333
bubble 500 232035
insertion 500 63435
selection 500 124750
quick 500 5859
std 500 4292
bubble 500 240518
insertion 500 61549
selection 500 124750
quick 500 7031
std 500 4307
bubble 500 240019
insertion 500 59688
selection 500 124750
quick 500 6825
std 500 4361
bubble 500 243512
insertion 500 61235
selection 500 124750
quick 500 7121
std 500 4371
bubble 500 243013
insertion 500 65072
selection 500 124750
quick 500 6415
std 500 4338
bubble 500 241516
insertion 500 59889
selection 500 124750
quick 500 5857
std 500 4322
bubble 1000 978021
insertion 1000 258041
selection 1000 499500
quick 1000 14987
std 1000 9729
bubble 1000 991008
insertion 1000 246990
selection 1000 499500
quick 1000 14203
std 1000 9699
bubble 1000 954045
insertion 1000 257946
selection 1000 499500
quick 1000 15571
std 1000 9755
bubble 1000 982017
insertion 1000 250838
selection 1000 499500
quick 1000 14915
std 1000 9704
bubble 1000 933066
insertion 1000 251550
selection 1000 499500
quick 1000 14236
std 1000 9720
bubble 1000 945054
insertion 1000 244113
selection 1000 499500
quick 1000 14173
std 1000 9693
bubble 1000 928071
insertion 1000 256299
selection 1000 499500
quick 1000 14495
std 1000 9622
bubble 1000 968031
insertion 1000 253838
selection 1000 499500
quick 1000 16041
std 1000 9734
bubble 1000 936063
insertion 1000 253962
selection 1000 499500
quick 1000 16592
std 1000 9781
bubble 1000 978021
insertion 1000 254703
selection 1000 499500
quick 1000 14461
std 1000 9689
bubble 2500 6187524
insertion 2500 1553275
selection 2500 3123750
quick 2500 43671
std 2500 27113
bubble 2500 6132546
insertion 2500 1571721
selection 2500 3123750
quick 2500 44710
std 2500 26831
bubble 2500 6072570
insertion 2500 1578327
selection 2500 3123750
quick 2500 44435
std 2500 26931
bubble 2500 6030087
insertion 2500 1564901
selection 2500 3123750
quick 2500 51651
std 2500 26992
bubble 2500 6217512
insertion 2500 1604195
selection 2500 3123750
quick 2500 39704
std 2500 27009
bubble 2500 5967612
insertion 2500 1542583
selection 2500 3123750
quick 2500 46228
std 2500 27080
bubble 2500 6012594
insertion 2500 1547826
selection 2500 3123750
quick 2500 44347
std 2500 27111
bubble 2500 6242502
insertion 2500 1577163
selection 2500 3123750
quick 2500 48759
std 2500 27210
bubble 2500 6170031
insertion 2500 1570781
selection 2500 3123750
quick 2500 44987
std 2500 27178
bubble 2500 5942622
insertion 2500 1563341
selection 2500 3123750
quick 2500 51033
std 2500 27152
bubble 5000 24690061
insertion 5000 6280857
selection 5000 12497500
quick 5000 93281
std 5000 58927
bubble 5000 24650069
insertion 5000 6259788
selection 5000 12497500
quick 5000 97052
std 5000 58945
bubble 5000 24070185
insertion 5000 6139155
selection 5000 12497500
quick 5000 97014
std 5000 59087
bubble 5000 24435112
insertion 5000 6206851
selection 5000 12497500
quick 5000 91523
std 5000 58891
bubble 5000 24460107
insertion 5000 6194816
selection 5000 12497500
quick 5000 100741
std 5000 58988
bubble 5000 24550089
insertion 5000 6197985
selection 5000 12497500
quick 5000 99807
std 5000 59343
bubble 5000 24110177
insertion 5000 6286076
selection 5000 12497500
quick 5000 95874
std 5000 59068
bubble 5000 24720055
insertion 5000 6232465
selection 5000 12497500
quick 5000 94112
std 5000 59138
bubble 5000 24360127
insertion 5000 6241853
selection 5000 12497500
quick 5000 97646
std 5000 59125
bubble 5000 24485102
insertion 5000 6300431
selection 5000 12497500
quick 5000 100015
std 5000 59055
bubble 10000 98720127
insertion 10000 24924879
selection 10000 49995000
quick 10000 228468
std 10000 128189
bubble 10000 99080091
insertion 10000 25154492
selection 10000 49995000
quick 10000 209615
std 10000 128000
bubble 10000 99550044
insertion 10000 25183736
selection 10000 49995000
quick 10000 229643
std 10000 128318
bubble 10000 97730226
insertion 10000 24769776
selection 10000 49995000
quick 10000 213152
std 10000 128385
bubble 10000 99090090
insertion 10000 24995855
selection 10000 49995000
quick 10000 209781
std 10000 128265
bubble 10000 98970102
insertion 10000 24932322
selection 10000 49995000
quick 10000 221688
std 10000 128537
bubble 10000 97310268
insertion 10000 25086006
selection 10000 49995000
quick 10000 223617
std 10000 128156
bubble 10000 98850114
insertion 10000 25210324
selection 10000 49995000
quick 10000 223140
std 10000 128071
bubble 10000 98900109
insertion 10000 25229573
selection 10000 49995000
quick 10000 198726
std 10000 128345
bubble 10000 99390060
insertion 10000 24889252
selection 10000 49995000
quick 10000 201688
std 10000 128669
